scenario,tx_idx,split,requested_users,kept_users,discarded_users,discard_ratio,history_len,los_users,nlos_users,los_ratio,nlos_ratio,avg_unique_beams,min_unique_beams,max_unique_beams,constant_histories,constant_history_ratio,avg_majority_share,direction_counts
city_0_newyork_3p5_s,0,train,18282,18279,3,0.00016409583196586806,23,4554,13725,0.24913835548990645,0.7508616445100935,5.594616773346464,1,14,7,0.0003829531155971333,0.43759172440695787,"{'left': 15749, 'right': 2530}"
city_0_newyork_3p5_s,0,val,4531,3876,655,0.1445596998455087,23,928,2948,0.239422084623323,0.760577915376677,8.507481940144478,3,17,0,0.0,0.3134787095616278,"{'down': 2, 'left': 2001, 'right': 1870, 'up': 3}"
city_0_newyork_3p5_s,1,train,18538,18535,3,0.00016182975509763727,23,5556,12979,0.29975721607769085,0.7002427839223091,5.213002427839223,1,13,29,0.0015646074993256002,0.46618031690925504,"{'left': 16005, 'right': 2530}"
city_0_newyork_3p5_s,1,val,4653,4096,557,0.11970771545239631,23,1185,2911,0.289306640625,0.710693359375,9.558837890625,3,17,0,0.0,0.2661451256793478,"{'down': 3, 'left': 2123, 'right': 1967, 'up': 3}"
city_0_newyork_3p5_s,2,train,18215,18213,2,0.00010979961570134505,23,5518,12695,0.30297040575413164,0.6970295942458683,5.2610223466754515,1,13,104,0.005710206995003569,0.4707053490220793,"{'left': 15683, 'right': 2530}"
city_0_newyork_3p5_s,2,val,4576,3961,615,0.13439685314685315,23,1195,2766,0.30169149204746276,0.6983085079525372,9.783135571825296,3,17,0,0.0,0.27682952262823396,"{'left': 2045, 'right': 1912, 'up': 4}"
city_1_losangeles_3p5,0,train,15924,15924,0,0.0,23,3320,12604,0.20849032906304948,0.7915096709369505,6.758728962572218,1,16,174,0.01092690278824416,0.4352849950307439,"{'left': 12658, 'right': 3266}"
city_1_losangeles_3p5,0,val,3987,2171,1816,0.45548031101078507,23,387,1784,0.17825886688162138,0.8217411331183786,9.474896361123905,1,18,5,0.0023030861354214646,0.30933450824104297,"{'down': 205, 'left': 916, 'right': 906, 'up': 144}"
city_1_losangeles_3p5,1,train,13955,13955,0,0.0,23,4695,9260,0.3364385524901469,0.6635614475098531,6.073737011823719,1,19,155,0.011107130060910068,0.4536008599068434,"{'down': 20, 'left': 10689, 'right': 3246}"
city_1_losangeles_3p5,1,val,3448,1582,1866,0.5411832946635731,23,388,1194,0.24525916561314792,0.7547408343868521,8.621997471554995,2,17,0,0.0,0.35455944594074645,"{'down': 208, 'left': 642, 'right': 638, 'up': 94}"
city_1_losangeles_3p5,2,train,14613,14613,0,0.0,23,1741,12872,0.11914049134332444,0.8808595086566756,6.633203312119345,1,16,128,0.008759323889687264,0.42573170405148486,"{'left': 11347, 'right': 3266}"
