stage,epoch,dataset,mask_strategy,mask_ratio,nmse,nmse_db,last_nmse,last_nmse_db
0,0,city_0_newyork_3p5_s,fre,0.5,0.9096052,-0.41147062,1.1200486,0.49236885
0,0,city_1_losangeles_3p5,fre,0.5,1.3969924,1.4519405,1.7817382,2.5084388
0,0,city_2_chicago_3p5,fre,0.5,1.5060862,1.7784984,1.5471411,1.8952992
0,0,city_3_houston_3p5,fre,0.5,1.4186463,1.5187414,1.4302944,1.5542544
0,0,city_4_phoenix_3p5,fre,0.5,1.519144,1.8159896,1.2278847,0.8915757
0,0,city_5_philadelphia_3p5,fre,0.5,1.6271268,2.114214,1.6007732,2.043298
0,0,city_6_miami_3p5,fre,0.5,1.6267118,2.1131063,1.7410372,2.4080806
0,0,city_7_sandiego_3p5,fre,0.5,1.4432337,1.5933667,1.4175321,1.515329
0,0,city_8_dallas_3p5,fre,0.5,1.855436,2.6844597,1.6059856,2.0574167
0,0,city_9_sanfrancisco_3p5,fre,0.5,1.3653799,1.3525351,1.6819108,2.2580295
0,0,city_10_austin_3p5,fre,0.5,1.3081172,1.1664664,1.2676423,1.0299671
0,0,city_11_santaclara_3p5,fre,0.5,1.5611801,1.9345301,1.4972577,1.7529656
0,0,city_12_fortworth_3p5,fre,0.5,2.0262403,3.0669096,1.8479732,2.6669567
0,0,city_13_columbus_3p5,fre,0.5,1.2800032,1.0721105,1.3094541,1.1709027
0,0,city_17_seattle_3p5_s,fre,0.5,1.365818,1.3539284,1.1856729,0.7396489
0,0,city_18_denver_3p5,fre,0.5,1.5547165,1.916512,1.940327,2.8787494
0,0,city_19_oklahoma_3p5_s,fre,0.5,0.98233354,-0.07741027,1.1030948,0.42612845
0,0,city_16_sanfrancisco_3p5_lwm,fre,0.5,0.6072235,-2.1665142,0.6205835,-2.071998
0,0,city_23_beijing_3p5,fre,0.5,1.0550417,0.23269613,0.94461906,-0.24743296
0,0,city_31_barcelona_3p5,fre,0.5,0.5311794,-2.7475874,0.60323936,-2.1951034
0,0,city_35_san_francisco_3p5,fre,0.5,0.57230127,-2.423753,0.6114123,-2.1366584
0,0,city_47_chicago_3p5,fre,0.5,0.52256507,-2.8185964,0.6690414,-1.74547
0,0,city_89_nairobi_3p5,fre,0.5,0.97346693,-0.11678796,0.9596444,-0.17889677
0,0,city_91_xiangyang_3p5,fre,0.5,2.3302677,3.6740582,1.714693,2.3418636
0,0,city_92_sãopaulo_3p5,fre,0.5,1.6275883,2.1154456,1.3211819,1.2096261
0,0,boston5g_3p5,fre,0.5,1.0231555,0.099416226,1.1697,0.680745
0,0,city_86_ankara_3p5,fre,0.5,1.7112767,2.3332024,1.3934087,1.440785
0,0,city_84_baoding_3p5,fre,0.5,0.99976915,-0.0010026793,0.9832387,-0.07341038
0,0,city_95_delhi_3p5,fre,0.5,0.9468284,-0.23728712,0.92374873,-0.34446144
0,0,city_96_osaka_3p5,fre,0.5,0.9153348,-0.38420016,0.92848736,-0.32224002
0,0,city_88_tongshan_3p5,fre,0.5,0.9025859,-0.44511443,0.9089734,-0.4144883
