stage,epoch,dataset,mask_strategy,mask_ratio,nmse,nmse_db,last_nmse,last_nmse_db
0,0,city_1_losangeles_3p5,temporal,0.5,1.0029259,0.012688351,1.0011462,0.004975021
0,0,city_2_chicago_3p5,temporal,0.5,1.0013481,0.005850945,1.0003452,0.0014990566
0,0,city_3_houston_3p5,temporal,0.5,1.0022465,0.009745479,1.0009841,0.004271672
0,0,city_4_phoenix_3p5,temporal,0.5,1.0017636,0.0076523945,1.0009458,0.0041056443
0,0,city_5_philadelphia_3p5,temporal,0.5,1.0036763,0.01593667,1.0008893,0.0038604701
0,0,city_6_miami_3p5,temporal,0.5,1.0030818,0.0133635,1.000803,0.0034859583
0,0,city_7_sandiego_3p5,temporal,0.5,1.0019928,0.008646103,1.0007242,0.003144007
0,0,city_8_dallas_3p5,temporal,0.5,1.001727,0.0074937316,1.0004445,0.0019301466
0,0,city_9_sanfrancisco_3p5,temporal,0.5,1.002429,0.010536259,1.0010414,0.004520443
0,0,city_10_austin_3p5,temporal,0.5,1.0049351,0.02138035,1.0020108,0.008724122
0,0,city_11_santaclara_3p5,temporal,0.5,1.003271,0.014182519,1.0018678,0.008104061
0,0,city_12_fortworth_3p5,temporal,0.5,1.0024364,0.01056828,1.000544,0.002361711
0,0,city_13_columbus_3p5,temporal,0.5,1.0015045,0.0065292255,1.0010498,0.0045566456
0,0,city_18_denver_3p5,temporal,0.5,1.0028404,0.0123182135,1.0009562,0.004150643
